#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
87,"Hummingbird (Metro Boomin & James Blake)","Metro Boomin,James Blake",74,81,"rap, art pop, indie soul, indietronica, uk alternative pop","Pop, R&B, Hip Hop","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)",2023-06-02,05:19,59,60,46,1,26,10,20,-8,F#/G♭ Major,4,2024-01-27,6HexNTb392JS071DoTGo0y,"Republic Records",2B,,https://i.scdn.co/image/ab67616d000048516ed9aef791159496b286179f
88,"SICKO MODE","Travis Scott",87,155,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,05:12,83,73,1,0,45,20,10,-4,G#/A♭ Major,4,2024-01-27,2xLMifQCjDGFmkHkpNLD9h,"Cactus Jack / Epic",4B,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
89,"Yellow Ledbetter","Pearl Jam",72,141,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock","Metal, Rock","Jeremy",1991-00-00,05:03,50,35,29,0,29,0,10,-11,E Major,4,2024-01-27,3bE5slaVEfaDreqARl6k4M,"Epic",12B,https://p.scdn.co/mp3-preview/3d6b924ec1e3a08c7eae07e0bcf4bce2835faa4e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518df1fdc14be33eb2c991d60f
90,"Fragments of Time (feat. Todd Edwards)","Daft Punk,Todd Edwards",62,130,"electro, filter house, rock, garage house, uk garage","Hip Hop, Electronic, Rock","Random Access Memories",2013-05-20,04:39,81,51,4,12,96,0,10,-10,C Major,4,2024-01-27,0IedgQjjJ8Ad4B3UDQ5Lyn,"Columbia",8B,https://p.scdn.co/mp3-preview/f9df34ef6aed7b14d7c534a5a73f524a0cf15dc1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
91,"Mumbo Sugar","Arc De Soleil",63,94,"","","Libertalia",2020-05-01,03:08,71,60,4,85,97,0,20,-8,C♯/D♭ Minor,4,2024-01-27,1To3VopSqc8cWHcZJrpjvX,"Epidemic Sound",12A,https://p.scdn.co/mp3-preview/af1015d0bbccce7cede99de09882a134ebbce4e7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b409e83fc279b0814b3f014
92,"Fair Trade (with Travis Scott)","Drake,Travis Scott",86,168,"canadian hip hop, canadian pop, hip hop, pop rap, rap, slap house","Hip Hop, Pop, Electronic","Certified Lover Boy",2021-09-03,04:51,67,47,5,0,29,20,20,-9,C♯/D♭ Major,4,2024-01-27,40iJIUlhi6renaREYGeIDS,"OVO",3B,,https://i.scdn.co/image/ab67616d00004851cd945b4e3de57edd28481a3f
93,"Ain't No Rest For The Wicked - Original Version","Cage The Elephant",71,156,"modern alternative rock, modern rock, pov: indie, punk blues, rock","Rock, Pop, Blues","Cage The Elephant",2008-01-01,02:55,64,91,6,0,92,10,60,-6,C Major,4,2024-01-27,7tCHpjktA50ihtkLz6bAnn,"Relentless/Virgin",8B,https://p.scdn.co/mp3-preview/ada37d5b27a8c23c77d3f66c7f81d656ec3deefc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ce6b979ca98da4c27157dc17
94,"Outta Control","Rebelution",54,180,"reggae rock","Rock","Bright Side of Life",2009-08-03,04:05,67,63,5,0,66,10,0,-7,F#/G♭ Minor,4,2024-01-27,3E3f3Po59cqs9gS3vexHjB,"Controlled Substance Sound Labs",11A,https://p.scdn.co/mp3-preview/f286bd60aabe26e73e94bcdc3c94b9065d0ff46b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edc09d4eccc8a4928ea0076c
95,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin,Future,Lil Uzi Vert",71,135,"rap, atl hip hop, hip hop, southern hip hop, trap, melodic rap, philly rap, rage rap","Hip Hop","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)",2023-06-02,04:05,77,55,18,0,28,10,20,-7,A Minor,4,2024-01-27,0B6g379TMw0nYGXA7y5xHz,"Republic Records",8A,,https://i.scdn.co/image/ab67616d000048516ed9aef791159496b286179f
96,"way back","Travis Scott",69,117,"hip hop, rap, slap house","Hip Hop, Electronic","Birds In The Trap Sing McKnight",2016-09-16,04:32,40,55,22,0,17,0,60,-5,C Major,4,2024-01-27,2Zy7XVdxyZQB8xp5xbpJdl,"Cactus Jack / Epic",8B,https://p.scdn.co/mp3-preview/7e5ffb59a34355a07ee57a8e2efa74f3bffc07d7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f54b99bf27cda88f4a7403ce
97,"Peace and Love","Red Hot Chili Peppers",59,84,"alternative rock, funk metal, funk rock, permanent wave, rock","Rock, Metal","Return of the Dream Canteen",2022-10-14,04:03,68,68,0,1,87,0,10,-6,A#/B♭ Major,4,2024-01-27,3W2reBya7FkjHCP1B2nmQr,"Warner Records",6B,https://p.scdn.co/mp3-preview/a93ec9ed459cf4c2fe6c80b5c1141d0ed10da67a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aa50644f05f26e73ba950b8c
98,"More Than Ever","Rebelution",48,145,"reggae rock","Rock","Bright Side of Life",2009-08-03,03:41,81,64,1,0,81,0,0,-7,F Minor,4,2024-01-27,0gmJJDQtjbdUJlmdIX6WXq,"Controlled Substance Sound Labs",4A,https://p.scdn.co/mp3-preview/49be41de42df0a94966e4b646f9457084e4ebf84?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edc09d4eccc8a4928ea0076c
99,"Pulp of Youth","The Growlers",41,121,"garage rock revival, indie garage rock, indie surf","Blues, Rock","Natural Affair",2019-10-25,03:35,64,72,3,0,79,0,30,-6,F Minor,4,2024-01-27,35m0zFQz1RgVQsUwegOyzf,"Beach Goth Records",4A,https://p.scdn.co/mp3-preview/686748f6d5bcd7656378e10e225ffc08f242bd60?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ecd1bb95b9c6316398db1abc
100,"NC-17","Travis Scott",69,136,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,02:36,80,76,7,0,6,0,30,-5,D Major,4,2024-01-27,6BJbOXDlgVAXSaq6wYFYT2,"Cactus Jack / Epic",10B,https://p.scdn.co/mp3-preview/61775f698136ec38081614a03acba609b1e45285?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
