#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
25,"Cookie","NewJeans",78,157,"k-pop, k-pop girl group","Pop","NewJeans 1st EP 'New Jeans'",2022-08-01,03:55,85,64,6,0,66,0,0,-4,C Major,4,-,2DwUdMJ5uxv20EhAildreg,"ADOR",8B,https://p.scdn.co/mp3-preview/d059b8ea163242692099c452cbed3de596c2e624?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519d28fd01859073a3ae6ea209
26,"Yesterday","Noname",48,174,"alternative r&b, chicago rap","R&B, Hip Hop","Telefone",2016-07-31,03:09,46,54,49,0,47,30,0,-9,F Major,4,-,5v62yYE9oyTpnjgHpECtN2,"Noname",7B,https://p.scdn.co/mp3-preview/6e83e21f9b266937f1d53df59a01fd0d3e146513?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
27,"Kiss the Ladder","Fleshwater",66,174,"dreamo, grungegaze","Rock","We're Not Here to Be Loved",2022-11-04,01:17,12,99,0,0,25,10,40,-3,E Major,4,-,41QBT1Al5RQ9u9UIHOuXnj,"Closed Casket Activities",12B,https://p.scdn.co/mp3-preview/98838d2fbd4d9fcd51312b6f317415a1a941e6d3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515e6a9cd045fa8da9ba2fe81a
28,"Espinha de Bacalhau","Paulo Moura",10,107,"choro, samba, violao","Latin","Confus¦o Urbana, Suburbana E Rural",1989-02-15,02:35,58,70,39,5,79,0,0,-6,G Major,4,-,47U250jgzA3QuGUXMv6qmv,"RCA Records Label",9B,https://p.scdn.co/mp3-preview/433e8d4d799dce492dfdb3e6fe022da5c02bf07b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851545c81b2aa75f16e68e8d3a6
29,"Skating In Central Park","Bill Evans,Jim Hall",62,124,"bebop, contemporary post-bop, cool jazz, jazz, jazz piano, vocal jazz, jazz guitar","Jazz","Undercurrent",1962-00-00,05:24,48,3,99,95,15,0,10,-25,C Major,3,-,1cpANF6zMBoFoxkoIjZHjv,"Blue Note Records",8B,,https://i.scdn.co/image/ab67616d000048511a05b72d0e1fc7a4e30d047d
30,"Casket Pretty","Noname",41,104,"alternative r&b, chicago rap","R&B, Hip Hop","Telefone",2016-07-31,01:50,61,49,93,2,50,40,10,-11,D#/E♭ Major,3,-,40myXrYPCBaYOt7AqBdoFO,"Noname",5B,https://p.scdn.co/mp3-preview/22cfebd69506e7b8b52b5795093085f50e803357?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
31,"My Shadow","Jay Reatard",43,97,"action rock, garage pop, garage rock, indie garage rock, indie punk, lo-fi, memphis indie, noise pop","Rock, Pop, Blues","Blood Visions",2009-00-00,03:18,41,94,23,0,32,10,10,0,E Minor,4,-,6qOwmc4uXXMmZY2D5XOaBJ,"Fat Possum",9A,https://p.scdn.co/mp3-preview/aa827ad6a9e181428f6b57250bc84e57c0e90f50?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca3daa236315879de6bf3467
32,"Tell Me","Groove Theory",68,93,"contemporary r&b, new jack swing","R&B","Groove Theory",1995-07-25,03:56,80,36,4,0,89,0,0,-11,F#/G♭ Minor,4,-,2lp8xjq0WTm3HZKHuDEweg,"Epic",11A,https://p.scdn.co/mp3-preview/9a9a6cb5eb50521250750f8870e661545b8390eb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518392098a96a694c07b78333e
33,"Be Your Girl","Teedra Moses",52,92,"neo soul","R&B","Complex Simplicity: 15th Anniversary Edition",2004-00-00,04:09,71,72,16,0,63,0,10,-6,B Minor,4,-,4AOUkAWdXPucnYe6GYdZjk,"The Orchard",10A,https://p.scdn.co/mp3-preview/a726bda2dcda5d8417bf5e4f292b141eeb3646ed?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515a056516915290e46b1679a6
34,"Sunny Duet","Noname,theMIND",48,156,"alternative r&b, chicago rap, indie hip hop","R&B, Hip Hop","Telefone",2016-07-31,02:42,56,46,78,0,90,40,10,-10,G Major,4,-,1OEArA0rZfg6l9lsgKNEqy,"Noname",9B,https://p.scdn.co/mp3-preview/891ebc094857498d41e2e69022351de8c99cec0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
